epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.068,2.27878,1.9848,1.49786,0.45542,0.24199,0.19153,0.08329,1.86593,1.53208,1.3185,0.000998658,0.000998658,0.0677101
2,315.49,1.75828,1.25671,1.21746,0.5457,0.31177,0.30363,0.13985,1.65994,1.15514,1.19522,0.00195908,0.00195908,0.0353372
3,461.419,1.64896,1.12076,1.16762,0.54346,0.35359,0.3474,0.16312,1.60674,1.07667,1.17023,0.00287991,0.00287991,0.00292465
4,607.315,1.59506,1.05014,1.14041,0.66647,0.35425,0.37557,0.17934,1.59354,1.03751,1.15503,0.0028218,0.0028218,0.0028218
5,752.977,1.55896,1.00338,1.12465,0.58214,0.37857,0.40748,0.20004,1.53962,0.96553,1.12555,0.0027624,0.0027624,0.0027624
6,899.046,1.52157,0.96233,1.1105,0.61123,0.40148,0.44958,0.22644,1.49992,0.90084,1.11075,0.002703,0.002703,0.002703
7,1044.53,1.50079,0.93501,1.10082,0.67337,0.41903,0.45843,0.22761,1.4867,0.90949,1.10224,0.0026436,0.0026436,0.0026436
8,1190.3,1.4784,0.90998,1.09007,0.6936,0.44982,0.48337,0.24409,1.46313,0.89534,1.09568,0.0025842,0.0025842,0.0025842
9,1336.4,1.45939,0.89045,1.08162,0.691,0.44223,0.49077,0.24911,1.46083,0.8495,1.09475,0.0025248,0.0025248,0.0025248
10,1482.29,1.44609,0.87472,1.07742,0.67303,0.47392,0.51267,0.26397,1.45243,0.84,1.08926,0.0024654,0.0024654,0.0024654
11,1628.39,1.42937,0.861,1.0709,0.67894,0.50654,0.54446,0.28274,1.42185,0.80536,1.07537,0.002406,0.002406,0.002406
12,1773.54,1.42047,0.84531,1.0675,0.7352,0.49378,0.57834,0.30107,1.40973,0.80368,1.07002,0.0023466,0.0023466,0.0023466
13,1918.84,1.41251,0.83615,1.06263,0.75549,0.5029,0.58622,0.30042,1.39648,0.7803,1.06323,0.0022872,0.0022872,0.0022872
14,2064.79,1.39729,0.82167,1.05697,0.75399,0.51294,0.57896,0.30316,1.38187,0.76429,1.06021,0.0022278,0.0022278,0.0022278
15,2209.85,1.3854,0.81187,1.05402,0.76512,0.53163,0.59653,0.31645,1.38274,0.75868,1.05671,0.0021684,0.0021684,0.0021684
16,2355.19,1.3812,0.80339,1.05059,0.77517,0.55326,0.62227,0.31633,1.38186,0.75278,1.05332,0.002109,0.002109,0.002109
17,2500.73,1.3719,0.79504,1.04575,0.72622,0.55177,0.64135,0.33131,1.3643,0.73769,1.04499,0.0020496,0.0020496,0.0020496
18,2646.44,1.35911,0.78606,1.04211,0.7969,0.55039,0.64484,0.33667,1.35866,0.72567,1.04349,0.0019902,0.0019902,0.0019902
19,2791.05,1.34998,0.77648,1.03793,0.70816,0.62577,0.68588,0.34893,1.34603,0.71821,1.03838,0.0019308,0.0019308,0.0019308
20,2936.43,1.34152,0.7677,1.03328,0.70576,0.64456,0.69321,0.36082,1.33953,0.70549,1.03282,0.0018714,0.0018714,0.0018714
21,3081.98,1.33273,0.76193,1.03192,0.79625,0.58413,0.67973,0.35876,1.32917,0.70309,1.03269,0.001812,0.001812,0.001812
22,3227.16,1.32535,0.75237,1.02918,0.7454,0.56419,0.66382,0.3561,1.31563,0.69075,1.02674,0.0017526,0.0017526,0.0017526
23,3371.88,1.32035,0.74795,1.02601,0.74179,0.58369,0.66301,0.36213,1.3135,0.68617,1.02539,0.0016932,0.0016932,0.0016932
24,3517.45,1.30721,0.73893,1.02036,0.8001,0.60862,0.68192,0.36499,1.30826,0.67898,1.02371,0.0016338,0.0016338,0.0016338
25,3663.45,1.30293,0.73433,1.0211,0.7483,0.59762,0.67394,0.36822,1.29846,0.67361,1.01996,0.0015744,0.0015744,0.0015744
26,3809.52,1.29747,0.72809,1.01876,0.73013,0.60945,0.67886,0.37089,1.29509,0.67075,1.01906,0.001515,0.001515,0.001515
27,3954.71,1.28709,0.72109,1.01566,0.73568,0.63119,0.68358,0.38119,1.28671,0.66278,1.01473,0.0014556,0.0014556,0.0014556
28,4100.82,1.28168,0.71639,1.01219,0.74581,0.63929,0.69931,0.38901,1.28049,0.65905,1.01354,0.0013962,0.0013962,0.0013962
29,4247.15,1.2729,0.70974,1.01073,0.76206,0.63703,0.68857,0.3818,1.27725,0.65275,1.01049,0.0013368,0.0013368,0.0013368
30,4392.15,1.27153,0.70494,1.00749,0.78153,0.62921,0.69593,0.38922,1.27056,0.64736,1.00794,0.0012774,0.0012774,0.0012774
31,4536.92,1.26515,0.69895,1.00696,0.77178,0.63183,0.70571,0.39618,1.26498,0.6455,1.00742,0.001218,0.001218,0.001218
32,4681.92,1.25403,0.69223,1.0033,0.79084,0.63018,0.70902,0.39788,1.25843,0.6406,1.00427,0.0011586,0.0011586,0.0011586
33,4826.11,1.24757,0.68837,1.00073,0.80834,0.63204,0.70899,0.39844,1.25602,0.63805,1.00339,0.0010992,0.0010992,0.0010992
34,4966.9,1.24254,0.68101,0.99907,0.79483,0.6362,0.70802,0.39992,1.25209,0.63479,1.00249,0.0010398,0.0010398,0.0010398
35,5109.93,1.2362,0.67811,0.99833,0.76968,0.6573,0.70902,0.40113,1.25007,0.6325,1.00149,0.0009804,0.0009804,0.0009804
36,5245.33,1.22989,0.67243,0.99362,0.77871,0.65229,0.7116,0.40344,1.24727,0.6299,0.99962,0.000921,0.000921,0.000921
37,5382.02,1.22444,0.66919,0.99293,0.77341,0.65922,0.71274,0.40503,1.24312,0.62722,0.99778,0.0008616,0.0008616,0.0008616
38,5518.1,1.21558,0.66315,0.99133,0.83416,0.67791,0.74973,0.41166,1.24052,0.62436,0.99662,0.0008022,0.0008022,0.0008022
39,5653.64,1.21613,0.66214,0.99015,0.83113,0.67503,0.75254,0.41351,1.23698,0.62116,0.9954,0.0007428,0.0007428,0.0007428
40,5789.62,1.21005,0.65734,0.9892,0.8592,0.65855,0.75238,0.41371,1.23484,0.61944,0.99479,0.0006834,0.0006834,0.0006834
41,5961.28,1.21114,0.6276,0.99726,0.80486,0.64899,0.72307,0.41306,1.23193,0.61827,0.99412,0.000624,0.000624,0.000624
42,6097.42,1.1972,0.6179,0.9911,0.81242,0.64456,0.72674,0.41651,1.22929,0.61603,0.99323,0.0005646,0.0005646,0.0005646
43,6232.55,1.18833,0.61291,0.98891,0.81554,0.64868,0.72877,0.41709,1.22705,0.61466,0.99236,0.0005052,0.0005052,0.0005052
44,6368.6,1.18028,0.6067,0.98759,0.82217,0.65101,0.72666,0.41743,1.22481,0.61196,0.99161,0.0004458,0.0004458,0.0004458
45,6505.15,1.17461,0.6033,0.98514,0.86947,0.6662,0.76224,0.42124,1.22254,0.60995,0.99093,0.0003864,0.0003864,0.0003864
46,6641.76,1.16664,0.59763,0.98157,0.87414,0.66307,0.76382,0.42353,1.22055,0.60859,0.99032,0.000327,0.000327,0.000327
47,6778,1.15903,0.59268,0.98016,0.87537,0.6635,0.76523,0.42503,1.21891,0.60752,0.98973,0.0002676,0.0002676,0.0002676
48,6913.33,1.15193,0.58825,0.97684,0.87766,0.66376,0.76736,0.42614,1.21682,0.60599,0.98913,0.0002082,0.0002082,0.0002082
49,7049.83,1.14656,0.58473,0.97453,0.87493,0.66751,0.76933,0.42802,1.2155,0.60481,0.98875,0.0001488,0.0001488,0.0001488
50,7186.32,1.14237,0.58158,0.97368,0.87771,0.66698,0.77049,0.42919,1.21417,0.60363,0.98818,8.94e-05,8.94e-05,8.94e-05
